filename,original_size,encode-cl 0,encode-cl 1,encode-cl 10,encode-cl 2,encode-cl 3,encode-cl 4,encode-cl 5,encode-cl 6,encode-cl 7,encode-cl 8,encode-cl 9,encode-zstd
Plane.001.ply,669899,19.03%,1.85%,0.33%,1.85%,1.16%,1.16%,1.16%,0.41%,0.41%,0.41%,0.37%,10.02%
Plane.002.ply,669899,19.03%,1.85%,0.33%,1.85%,1.16%,1.16%,1.16%,0.41%,0.41%,0.41%,0.37%,10.02%
coastal-rock1.ply,782497,16.20%,3.02%,2.50%,3.02%,2.81%,2.81%,2.81%,2.59%,2.59%,2.59%,2.52%,35.95%
seagull.ply,574707,14.14%,2.74%,1.87%,2.74%,2.33%,2.33%,2.33%,2.12%,2.12%,2.12%,1.98%,33.16%
Sea-Ocean-Birds-PNG-Pic.ply,276,26.81%,31.16%,29.71%,31.16%,29.71%,29.71%,29.71%,29.71%,29.71%,29.71%,29.71%,52.54%
Aset_nature_rock_L_vckqccbga_LOD0.ply,903030,15.48%,2.89%,2.38%,2.89%,2.69%,2.69%,2.69%,2.48%,2.48%,2.48%,2.46%,42.53%
Aset_nature_rock_M_ukoncdamw_LOD0.ply,923223,15.89%,2.93%,2.45%,2.93%,2.75%,2.75%,2.75%,2.54%,2.54%,2.54%,2.48%,43.45%
sails.ply,309179,18.44%,3.49%,1.96%,3.49%,2.52%,2.52%,2.52%,2.05%,2.05%,2.05%,2.00%,41.78%
Aset_nature_rock_XL_vefkehbva_LOD0.ply,1300006,15.64%,2.84%,2.30%,2.84%,2.61%,2.61%,2.61%,2.39%,2.39%,2.39%,2.31%,41.47%
Aset_nature_rock_L_ve3qdhmqx_LOD0.ply,975493,15.52%,2.97%,2.50%,2.97%,2.79%,2.79%,2.79%,2.61%,2.61%,2.61%,2.51%,41.96%
hull.ply,2491293,16.26%,2.60%,1.85%,2.60%,2.35%,2.32%,2.32%,2.07%,2.07%,2.07%,1.89%,35.19%
Aset_nature_rock_M_vcxmcjoqa_LOD0.ply,1072049,15.39%,2.77%,2.27%,2.77%,2.58%,2.58%,2.58%,2.38%,2.38%,2.38%,2.33%,43.09%
rigging.ply,1693281,14.30%,2.88%,2.24%,2.88%,2.66%,2.62%,2.62%,2.37%,2.37%,2.37%,2.26%,36.83%
Cube.001.ply,322,31.68%,24.84%,24.84%,24.84%,24.84%,24.84%,24.84%,24.84%,24.84%,24.84%,24.84%,56.52%
